cpk,burno,burned,reward,dwu,duration,burnht,rewardhtdelay,rewardht,maturitydate,maturitytime
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,185,250000.00,306775.15,22.7100,365,180020,255245,254845,03-03-2021,15:43:59
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,177,700000.00,860930.15,22.9900,365,178639,253810,253464,02-25-2021,04:25:21
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,68,1000000.00,1232900.15,23.2900,365,178356,253605,253181,02-23-2021,20:45:31
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,75,1000000.00,1247000.15,24.7000,365,177893,252990,252718,02-21-2021,16:26:38
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,30,1000000.00,1251000.15,25.1000,365,177770,252990,252595,02-21-2021,02:33:48
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,20,500000.00,626550.15,25.3100,365,177552,252785,252377,02-20-2021,02:04:48
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,24,1000000.00,1257200.15,25.7200,365,177463,252580,252288,02-19-2021,15:59:41
BJxfXErViKkpgDMaqzQNyATMJjEVd7VFck,103,5000.00,6286.15,25.7300,365,177337,252580,252162,02-19-2021,01:46:35
BGz1NwRvia3hzCqp4LurrHZAnJqc6BaaxA,100,15000.00,18859.15,25.7300,365,177337,252580,252162,02-19-2021,01:47:05
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,65,100000.00,125770.15,25.7700,365,177166,252375,251991,02-18-2021,06:26:16
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,83,350000.00,440685.15,25.9100,365,176945,252170,251770,02-17-2021,05:53:36
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,126,1000000.00,1263400.15,26.3400,365,176821,251965,251646,02-16-2021,15:31:18
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,107,777777.00,985210.15,26.6700,365,176710,251965,251535,02-16-2021,03:08:34
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,10,1000000.00,1271100.15,27.1099,365,176691,251760,251516,02-16-2021,01:15:38
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,19,350000.00,445410.15,27.2599,365,176523,251760,251348,02-15-2021,06:08:57
BQXj5kV9LVUZGF4ipFCRmkzBbZu366grJt,54,1000000.00,1277099.15,27.7099,365,176497,251555,251322,02-15-2021,03:17:48
BLENRYgVPwzfsrJoJNbvC537qMHsCVyeFU,168,150000.00,191670.15,27.7799,365,176175,251350,251000,02-13-2021,14:53:58
